,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2,SUPERT_7_0.3,SUPERTd_7_0.3,SUPERTl_7_0.3,SUPERTs_7_0.3
0,2021-05-04 09:15:00+05:30,220.0,243.1,191.1,211.7,291275,220625,,,0.06,False,0.0,1,,
1,2021-05-04 09:20:00+05:30,211.85,232.95,200.95,212.3,229175,254275,,,0.06,False,,1,,
2,2021-05-04 09:25:00+05:30,209.0,211.45,183.5,203.2,162450,285775,,243.1,0.06,True,,1,,
3,2021-05-04 09:30:00+05:30,200.65,225.4,193.85,224.85,158125,286375,,239.524,0.06,False,,1,,
4,2021-05-04 09:35:00+05:30,226.7,237.95,211.85,217.45,186400,286300,183.5,,0.06,True,,1,,
5,2021-05-04 09:40:00+05:30,218.7,219.95,185.7,189.8,162000,286550,,237.95,0.06,True,,1,,
6,2021-05-04 09:45:00+05:30,188.05,191.9,148.7,189.25,319900,286475,,237.95,0.06,False,159.74462681679964,1,159.74462681679964,
7,2021-05-04 09:50:00+05:30,189.25,200.65,177.3,193.0,128200,286300,,227.23999999999998,0.12,False,179.13535572073238,1,179.13535572073238,
8,2021-05-04 09:55:00+05:30,192.75,225.95,189.6,220.95,159000,287100,148.7,,0.12,True,197.73250257704876,1,197.73250257704876,
9,2021-05-04 10:00:00+05:30,222.3,249.95,209.55,242.0,281825,287100,153.33499999999998,,0.06,False,219.3298841247808,1,219.3298841247808,
10,2021-05-04 10:05:00+05:30,241.05,248.25,222.95,239.95,161375,286850,164.92879999999997,,0.12,False,225.67503617617282,1,225.67503617617282,
11,2021-05-04 10:10:00+05:30,239.0,240.75,210.3,217.15,108225,286850,175.13134399999996,,0.12,False,235.31605187360432,-1,,235.31605187360432
12,2021-05-04 10:15:00+05:30,217.7,230.85,202.55,222.0,102675,286850,184.10958271999996,,0.12,False,226.27622908553874,-1,,226.27622908553874
13,2021-05-04 10:20:00+05:30,221.65,229.0,209.75,211.6,78125,287000,192.01043279359996,,0.12,False,226.27622908553874,-1,,226.27622908553874
14,2021-05-04 10:25:00+05:30,211.35,223.9,205.65,214.6,77700,287200,198.96318085836796,,0.12,False,223.18431471411984,-1,,223.18431471411984
15,2021-05-04 10:30:00+05:30,214.05,244.65,214.05,230.75,127000,287200,205.08159915536382,,0.12,False,220.82037431074417,1,220.82037431074417,
16,2021-05-04 10:35:00+05:30,231.55,237.75,226.0,231.55,101500,287200,205.65,,0.12,False,224.11642394456112,1,224.11642394456112,
17,2021-05-04 10:40:00+05:30,230.55,230.75,213.4,221.35,75925,398225,210.966,,0.12,False,229.481080981656,-1,,229.481080981656
18,2021-05-04 10:45:00+05:30,222.25,231.05,213.45,225.8,66175,399650,,249.95,0.12,True,229.33520162606933,-1,,229.33520162606933
19,2021-05-04 10:50:00+05:30,226.25,237.6,215.15,219.45,76925,398900,,247.76,0.06,False,229.33520162606933,-1,,229.33520162606933
20,2021-05-04 10:55:00+05:30,220.15,227.85,216.6,224.0,43400,403150,,245.70139999999998,0.06,False,228.71386999995468,-1,,228.71386999995468
21,2021-05-04 11:00:00+05:30,223.35,239.3,220.0,232.8,105375,405400,,243.766316,0.06,False,223.26444666292863,1,223.26444666292863,
22,2021-05-04 11:05:00+05:30,234.0,260.25,226.75,252.1,188350,410225,213.45,,0.06,True,236.57539999197596,1,236.57539999197596,
23,2021-05-04 11:10:00+05:30,253.0,265.3,247.55,257.25,208050,393525,216.25799999999998,,0.06,False,249.7347094582194,1,249.7347094582194,
24,2021-05-04 11:15:00+05:30,256.0,261.35,243.0,246.1,99225,386275,222.14303999999998,,0.12,False,258.69229588204416,-1,,258.69229588204416
25,2021-05-04 11:20:00+05:30,245.45,250.0,235.1,237.8,73525,387200,227.3218752,,0.12,False,248.76941213840004,-1,,248.76941213840004
26,2021-05-04 11:25:00+05:30,237.6,249.55,236.7,244.45,53525,389825,231.879250176,,0.12,False,248.76941213840004,-1,,248.76941213840004
27,2021-05-04 11:30:00+05:30,244.0,252.55,240.9,246.0,60100,389200,235.1,,0.12,False,248.76941213840004,-1,,248.76941213840004
28,2021-05-04 11:35:00+05:30,246.2,279.9,245.45,272.45,201550,378200,236.7,,0.12,False,256.4493365653223,1,256.4493365653223,
29,2021-05-04 11:40:00+05:30,272.9,288.7,271.25,285.3,185900,379400,240.9,,0.18,False,273.89226177476166,1,273.89226177476166,
30,2021-05-04 11:45:00+05:30,284.45,287.25,270.9,272.2,98300,382250,245.45,,0.2,False,284.988063423455,-1,,284.988063423455
31,2021-05-04 11:50:00+05:30,272.0,283.4,251.85,269.65,110750,383275,,288.7,0.2,True,274.0491660115037,-1,,274.0491660115037
32,2021-05-04 11:55:00+05:30,270.0,276.95,257.55,273.05,66625,387025,,287.25,0.06,False,273.58732016122474,-1,,273.58732016122474
33,2021-05-04 12:00:00+05:30,274.0,284.7,273.0,279.25,91525,385925,,285.126,0.06,False,272.91873248648136,1,272.91873248648136,
34,2021-05-04 12:05:00+05:30,277.65,285.0,232.45,254.1,208100,400675,251.85,,0.06,True,266.0674905388592,-1,,266.0674905388592
35,2021-05-04 12:10:00+05:30,254.7,260.95,245.45,252.25,69950,403575,,285.0,0.06,True,260.15634705283566,-1,,260.15634705283566
36,2021-05-04 12:15:00+05:30,250.45,253.3,222.6,246.8,136150,402050,,285.0,0.06,False,245.2293744551245,-1,,245.2293744551245
37,2021-05-04 12:20:00+05:30,248.2,264.6,246.65,257.45,165550,418675,,277.512,0.12,False,248.61702605785285,1,248.61702605785285,
