,date,open,high,low,close,volume,oi,SUPERT_6_0.2,SUPERTd_6_0.2,SUPERTl_6_0.2,SUPERTs_6_0.2,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-05-17 09:15:00+05:30,32437.85,32489.4,32328.15,32485.0,0,0,0.0,1,,,,,0.02,False
1,2021-05-17 09:20:00+05:30,32483.5,32529.3,32458.45,32515.3,0,0,,1,,,,,0.02,False
2,2021-05-17 09:25:00+05:30,32502.95,32572.05,32499.3,32557.45,0,0,,1,,,,32489.4,0.02,True
3,2021-05-17 09:30:00+05:30,32553.1,32688.9,32553.1,32680.5,0,0,,1,,,32499.3,,0.02,True
4,2021-05-17 09:35:00+05:30,32675.7,32695.65,32637.1,32664.05,0,0,,1,,,32499.3,,0.02,False
5,2021-05-17 09:40:00+05:30,32657.1,32733.05,32656.95,32722.05,0,0,32676.94420837227,1,32676.94420837227,,32507.154,,0.04,False
6,2021-05-17 09:45:00+05:30,32714.35,32761.15,32693.25,32704.35,0,0,32710.17895144467,1,32710.17895144467,,32520.707759999998,,0.06,False
7,2021-05-17 09:50:00+05:30,32702.35,32725.85,32692.8,32716.4,0,0,32710.17895144467,1,32710.17895144467,,32539.943139199997,,0.08,False
8,2021-05-17 09:55:00+05:30,32716.45,32723.2,32679.9,32683.7,0,0,32715.048956450748,-1,,32715.048956450748,32557.639688064,,0.08,False
9,2021-05-17 10:00:00+05:30,32687.5,32801.7,32681.05,32799.75,0,0,32725.762922035996,1,32725.762922035996,,32573.92051301888,,0.08,False
10,2021-05-17 10:05:00+05:30,32798.3,32853.55,32785.35,32851.35,0,0,32804.2177176192,1,32804.2177176192,,32596.69846171699,,0.1,False
11,2021-05-17 10:10:00+05:30,32852.4,32887.05,32826.85,32886.2,0,0,32842.316975434594,1,32842.316975434594,,32627.520646310953,,0.12000000000000001,False
12,2021-05-17 10:15:00+05:30,32885.5,32918.4,32872.9,32915.4,0,0,32882.03422200594,1,32882.03422200594,,32663.854755827422,,0.14,False
13,2021-05-17 10:20:00+05:30,32917.15,32923.45,32839.0,32851.15,0,0,32895.432574672675,-1,,32895.432574672675,32704.581994895034,,0.16,False
14,2021-05-17 10:25:00+05:30,32853.05,32893.85,32842.15,32884.15,0,0,32881.51823711466,-1,,32881.51823711466,32743.978235813927,,0.18,False
15,2021-05-17 10:30:00+05:30,32885.9,32895.9,32844.2,32870.55,0,0,32881.51823711466,-1,,32881.51823711466,32776.28315336742,,0.18,False
16,2021-05-17 10:35:00+05:30,32866.15,32895.05,32862.15,32894.0,0,0,32866.75497464119,1,32866.75497464119,,32802.77318576128,,0.18,False
17,2021-05-17 10:40:00+05:30,32894.25,32959.65,32892.25,32946.25,0,0,32913.821844194536,1,32913.821844194536,,32824.49501232425,,0.18,False
18,2021-05-17 10:45:00+05:30,32945.95,32950.9,32911.65,32941.45,0,0,32919.8829096467,1,32919.8829096467,,32851.5260098594,,0.19999999999999998,False
19,2021-05-17 10:50:00+05:30,32942.2,32960.35,32912.55,32919.85,0,0,32947.5285639209,-1,,32947.5285639209,32873.15080788752,,0.19999999999999998,False
20,2021-05-17 10:55:00+05:30,32917.95,32927.85,32889.45,32892.5,0,0,32919.149550758935,-1,,32919.149550758935,,32960.35,0.2,True
21,2021-05-17 11:00:00+05:30,32888.6,32946.65,32885.7,32939.05,0,0,32905.38851010667,1,32905.38851010667,,,32960.35,0.02,False
22,2021-05-17 11:05:00+05:30,32940.9,32987.95,32937.25,32981.45,0,0,32951.92290980389,1,32951.92290980389,,32885.7,,0.04,True
23,2021-05-17 11:10:00+05:30,32982.7,32983.45,32942.45,32948.15,0,0,32973.208982403994,-1,,32973.208982403994,32885.7,,0.02,False
24,2021-05-17 11:15:00+05:30,32949.65,33008.3,32949.1,32987.9,0,0,32968.14272107474,1,32968.14272107474,,32887.744999999995,,0.02,False
25,2021-05-17 11:20:00+05:30,32988.05,33029.35,32973.0,33020.4,0,0,32990.49788742248,1,32990.49788742248,,32892.5672,,0.04,False
26,2021-05-17 11:25:00+05:30,33024.15,33042.4,33009.25,33019.85,0,0,33015.82735240548,1,33015.82735240548,,32900.774167999996,,0.06,False
27,2021-05-17 11:30:00+05:30,33015.85,33057.85,32994.15,33046.0,0,0,33015.5425040855,1,33015.5425040855,,32912.10423456,,0.08,False
28,2021-05-17 11:35:00+05:30,33045.6,33082.0,33043.4,33058.65,0,0,33052.70107158447,1,33052.70107158447,,32926.678811104,,0.1,False
29,2021-05-17 11:40:00+05:30,33053.0,33066.6,33025.35,33039.2,0,0,33055.68120719365,-1,,33055.68120719365,32945.31735377152,,0.12000000000000001,False
30,2021-05-17 11:45:00+05:30,33035.95,33098.05,33026.75,33092.85,0,0,33051.932153527625,1,33051.932153527625,,32961.719271318936,,0.12000000000000001,False
31,2021-05-17 11:50:00+05:30,33094.45,33106.3,33076.7,33080.2,0,0,33081.79235190015,1,33081.79235190015,,32980.805573334284,,0.14,False
32,2021-05-17 11:55:00+05:30,33082.8,33086.5,33061.1,33077.0,0,0,33082.73448851781,-1,,33082.73448851781,33000.8846816008,,0.16,False
33,2021-05-17 12:00:00+05:30,33075.45,33097.05,33062.45,33083.8,0,0,33071.151943061996,1,33071.151943061996,,33017.751132544676,,0.16,False
34,2021-05-17 12:05:00+05:30,33077.25,33116.45,33077.25,33116.35,0,0,33088.37850014585,1,33088.37850014585,,33031.91895133753,,0.16,False
