,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-05-03 09:15:00+05:30,433.75,442.25,394.45,394.45,21975,135300,,,0.06,False
1,2021-05-03 09:20:00+05:30,395.85,419.35,380.0,380.1,8025,130125,,,0.06,False
2,2021-05-03 09:25:00+05:30,380.1,389.45,361.9,361.9,3000,125550,,442.25,0.06,True
3,2021-05-03 09:30:00+05:30,361.9,368.0,359.5,365.85,1125,125025,,437.429,0.06,False
4,2021-05-03 09:35:00+05:30,367.35,378.8,361.1,361.55,2250,124350,,428.07752,0.12,False
5,2021-05-03 09:40:00+05:30,361.55,365.45,331.6,339.0,11775,123225,,419.8482176,0.12,False
