,date,open,high,low,close,volume,oi,SUPERT_7_0.4,SUPERTd_7_0.4,SUPERTl_7_0.4,SUPERTs_7_0.4,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-08-09 10:15:00+05:30,794.0,794.0,768.8,768.8,50,50,0.0,1,,,,777.2,,,0.02,0
1,2021-08-09 10:45:00+05:30,768.8,768.8,768.8,768.8,0,50,,1,,,,777.2,,794.0,0.02,1
2,2021-08-09 11:15:00+05:30,768.8,768.8,768.8,768.8,0,50,,1,,,,777.2,,794.0,0.02,0
3,2021-08-09 11:45:00+05:30,768.8,768.8,768.8,768.8,0,50,,1,,,,777.2,,793.496,0.02,0
4,2021-08-09 12:15:00+05:30,768.8,768.8,697.0,717.35,50,100,,1,,,,752.4583333333335,,793.00208,0.04,0
5,2021-08-09 12:45:00+05:30,717.35,717.35,673.0,673.0,50,100,,1,,,,730.9,,789.1619968,0.06,0
6,2021-08-09 13:15:00+05:30,673.0,686.8,673.0,686.8,50,125,,1,,,,718.725,,782.192276992,0.06,0
7,2021-08-09 13:45:00+05:30,686.8,686.8,640.0,645.0,75,125,653.3,1,653.3,,,701.9636363636364,,775.64074037248,0.08,0
8,2021-08-09 14:15:00+05:30,645.0,713.55,645.0,713.55,50,150,666.7007142857143,1,666.7007142857143,,,700.2307692307693,,764.7894811426816,0.08,0
9,2021-08-09 14:45:00+05:30,713.55,713.55,713.55,713.55,25,125,702.7720408163265,1,702.7720408163265,,,701.1821428571428,,754.806322651267,0.08,0
10,2021-08-09 15:15:00+05:30,713.55,713.55,713.55,713.55,0,125,704.3117492711369,1,704.3117492711369,,,701.1821428571428,,745.6218168391656,0.08,0
11,2021-08-10 09:15:00+05:30,750.0,830.6,750.0,820.0,75,175,775.6929279466889,1,775.6929279466889,,,800.1999999999999,640.0,,0.02,1
12,2021-08-10 09:45:00+05:30,820.0,879.0,805.0,850.85,425,325,825.2510810971619,1,825.2510810971619,,,838.2375,643.812,,0.04,0
13,2021-08-10 10:15:00+05:30,850.85,850.85,840.0,840.0,25,275,830.4487837975673,1,830.4487837975673,,,838.4936507936509,653.21952,,0.04,0
14,2021-08-10 10:45:00+05:30,840.0,855.0,840.0,855.0,25,275,833.8061003979149,1,833.8061003979149,,,839.0166666666667,662.2507392,,0.04,0
15,2021-08-10 11:15:00+05:30,855.0,855.0,855.0,855.0,25,300,843.2623717696413,1,843.2623717696413,,,839.7115942028986,670.920709632,,0.04,0
16,2021-08-10 11:45:00+05:30,855.0,855.0,855.0,855.0,25,300,844.9391758025497,1,844.9391758025497,,,840.3486111111112,679.24388124672,,0.04,0
17,2021-08-10 12:15:00+05:30,855.0,855.0,855.0,855.0,0,300,846.3764364021855,1,846.3764364021855,,,840.3486111111112,687.2341259968512,,0.04,0
18,2021-08-10 12:45:00+05:30,855.0,855.0,801.6,801.6,100,275,838.7430545124124,-1,,838.7430545124124,,837.3559523809525,694.9047609569772,,0.04,0
19,2021-08-10 13:15:00+05:30,801.6,801.6,801.6,801.6,0,275,810.5511895820679,-1,,810.5511895820679,,837.3559523809525,702.2685705186981,,0.04,0
20,2021-08-10 13:45:00+05:30,801.6,801.6,700.9,700.9,25,325,764.6767339274867,-1,,764.6767339274867,,833.8080459770116,,879.0,0.02,1
21,2021-08-10 14:15:00+05:30,700.9,722.0,700.9,722.0,50,350,724.1643433664173,-1,,724.1643433664173,,826.1408602150539,,875.438,0.02,0
22,2021-08-10 14:45:00+05:30,722.0,746.15,722.0,733.7,50,375,721.7969914002139,1,721.7969914002139,,,820.5535353535355,,871.94724,0.02,0
23,2021-08-10 15:15:00+05:30,733.7,739.95,731.2,731.2,125,400,724.5509926287548,1,724.5509926287548,,,809.1802631578948,,868.5262951999999,0.02,0
24,2021-08-11 09:15:00+05:30,776.15,776.2,763.35,763.35,50,375,757.7544222532184,1,757.7544222532184,,,767.6333333333333,,865.1737692959999,0.02,0
25,2021-08-11 09:45:00+05:30,763.35,763.35,639.5,639.5,75,400,718.805495211527,-1,,718.805495211527,,715.5233333333333,,861.8882939100799,0.04,0
26,2021-08-11 10:15:00+05:30,639.5,650.0,600.0,600.0,125,525,642.754710181309,-1,,642.754710181309,,666.095,,852.9927621536767,0.06,0
27,2021-08-11 10:45:00+05:30,600.0,600.0,548.05,573.0,300,675,592.211894441122,-1,,592.211894441122,,615.6886363636364,,837.8131964244561,0.08,0
28,2021-08-11 11:15:00+05:30,573.0,583.55,550.0,583.55,100,675,584.2809095209617,-1,,584.2809095209617,,609.023717948718,,814.6321407104996,0.08,0
29,2021-08-11 11:45:00+05:30,583.55,583.55,572.7,572.7,25,675,584.2809095209617,-1,,584.2809095209617,,607.8123456790124,,793.3055694536596,0.08,0
30,2021-08-11 12:15:00+05:30,572.7,617.55,572.7,617.55,350,775,579.1692297397016,1,579.1692297397016,,,606.0325203252033,,773.6851238973668,0.08,0
31,2021-08-11 12:45:00+05:30,617.55,617.55,594.0,594.0,50,1000,590.7529112054585,1,590.7529112054585,,,605.837984496124,,755.6343139855775,0.08,0
32,2021-08-11 13:15:00+05:30,594.0,637.5,594.0,630.0,200,900,600.3882096046788,1,600.3882096046788,,,608.137908496732,,739.0275688667313,0.08,0
33,2021-08-11 13:45:00+05:30,650.0,655.0,604.4,630.0,475,875,613.6413225182961,1,613.6413225182961,,,614.0176190476192,,723.7493633573928,0.08,0
34,2021-08-11 14:15:00+05:30,630.0,630.0,590.0,590.0,25,875,626.0502949843177,-1,,626.0502949843177,,613.8671361502348,,709.6934142888014,0.08,0
35,2021-08-11 14:45:00+05:30,590.0,600.55,584.85,600.0,325,850,607.3545385579866,-1,,607.3545385579866,,610.9678571428572,,696.7619411456973,0.08,0
36,2021-08-11 15:15:00+05:30,600.0,605.0,592.4,592.4,50,900,607.3545385579866,-1,,607.3545385579866,,610.6337209302326,,684.8649858540415,0.08,0
