,Name,Time,LTQ,callSP,putSP
0,ADANIPORTS,2021-10-27 01:51:07.645301,1250,770.0,750.0
1,DLF,2021-10-27 01:51:14.947776,3300,415.0,670.0
2,GMRINFRA,2021-10-27 01:51:22.718051,22500,40.0,670.0
3,GODREJPROP,2021-10-27 01:51:29.950321,650,2350.0,2520.0
4,LT,2021-10-27 01:51:40.568460,575,1800.0,1600.0
