,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SMA_5,SMA_14,SMA_28,WMA_14,SMA_44,VWAP_D,RSI_14,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-08-02 09:15:00+05:30,8.95,10.2,7.1,8.0,5200,86725,0.0,1,,,,,,,,8.433333333333332,,,,0.02,0
1,2021-08-02 09:45:00+05:30,8.0,8.95,7.6,8.15,3600,86325,,1,,,,,,,,8.351515151515152,,7.1,,0.02,0
2,2021-08-02 10:15:00+05:30,8.15,8.55,7.75,8.05,5000,86275,,1,,,,,,,,8.266425120772945,,7.1,,0.02,0
3,2021-08-02 10:45:00+05:30,8.05,8.05,7.6,8.0,2550,88125,,1,,,,,,,,8.206676860346585,,7.162,,0.02,0
4,2021-08-02 11:15:00+05:30,8.0,8.2,7.85,8.05,800,86675,,1,,,8.05,,,,,8.198590864917394,,7.22276,,0.02,0
5,2021-08-02 11:45:00+05:30,8.05,8.2,8.05,8.05,150,86625,,1,,,8.059999999999999,,,,,8.197736030828516,,7.2823048,,0.02,0
6,2021-08-02 12:15:00+05:30,8.05,8.4,8.0,8.2,450,86525,,1,,,8.069999999999999,,,,,8.197793427230046,,7.340658704,,0.02,0
7,2021-08-02 12:45:00+05:30,8.2,8.2,7.75,8.15,6500,87625,7.410714285714286,1,7.410714285714286,,8.09,,,,,8.153711340206184,,7.39784552992,,0.02,0
8,2021-08-02 13:15:00+05:30,8.15,8.3,7.8,8.0,850,87625,7.494897959183674,1,7.494897959183674,,8.09,,,,,8.149634794156706,,7.453888619321599,,0.02,0
9,2021-08-02 13:45:00+05:30,8.0,8.3,8.0,8.2,250,87575,7.63134110787172,1,7.63134110787172,,8.12,,,,,8.149802761341222,,7.508810846935168,,0.02,0
10,2021-08-02 14:15:00+05:30,8.2,8.2,7.55,8.15,1500,87525,7.63134110787172,1,7.63134110787172,,8.139999999999999,,,,,8.139571694599626,,,10.2,0.02,1
11,2021-08-02 14:45:00+05:30,8.15,8.25,7.9,8.05,1850,87375,7.63134110787172,1,7.63134110787172,,8.11,,,,,8.134872241579558,,,10.146999999999998,0.02,0
12,2021-08-02 15:15:00+05:30,8.05,8.25,7.8,8.1,2550,87525,7.63134110787172,1,7.63134110787172,,8.1,,,,,8.127946666666666,,,10.095059999999998,0.02,0
13,2021-08-03 09:15:00+05:30,12.95,12.95,8.05,8.3,2150,87775,9.369728478051542,1,9.369728478051542,,8.16,8.10357142857143,,8.127142857142857,,9.766666666666667,,7.55,,0.02,1
14,2021-08-03 09:45:00+05:30,8.3,8.75,8.25,8.75,450,87775,9.540232733098678,-1,,9.540232733098678,8.27,8.157142857142857,,8.213333333333333,,9.561858974358975,71.42857142857147,7.6579999999999995,,0.02,0
15,2021-08-03 10:15:00+05:30,8.75,9.25,8.75,9.15,650,87925,9.540232733098678,-1,,9.540232733098678,8.469999999999999,8.22857142857143,,8.345714285714285,,9.45948717948718,77.07231040564379,7.763839999999999,,0.02,0
16,2021-08-03 10:45:00+05:30,9.15,9.25,8.2,8.2,1900,88225,9.540232733098678,-1,,9.540232733098678,8.5,8.239285714285716,,8.341904761904761,,9.123948220064726,51.20324470482197,7.867563199999999,,0.02,0
17,2021-08-03 11:15:00+05:30,8.2,9.5,8.2,9.5,1150,88425,9.540232733098678,-1,,9.540232733098678,8.78,8.346428571428572,,8.509999999999998,,9.113492063492064,67.35210758005185,7.969211935999999,,0.02,0
18,2021-08-03 11:45:00+05:30,9.5,9.5,8.45,9.3,7900,93475,9.540232733098678,-1,,9.540232733098678,8.979999999999999,8.435714285714287,,8.637142857142855,,9.096713615023475,63.85111787431869,8.06882769728,,0.02,0
19,2021-08-03 12:15:00+05:30,9.3,11.65,9.3,9.7,7750,96175,9.259976513799291,1,9.259976513799291,,9.169999999999998,8.553571428571429,,8.805714285714284,,9.492141230068338,67.49077851289663,8.166451143334399,,0.02,0
20,2021-08-03 12:45:00+05:30,9.7,10.9,9.7,10.1,7850,98525,9.259976513799291,1,9.259976513799291,,9.36,8.689285714285715,,9.01190476190476,,9.687388143176735,70.67093784577803,8.26212212046771,,0.02,0
21,2021-08-03 13:15:00+05:30,10.1,10.75,10.1,10.5,4750,100025,9.292533765240295,1,9.292533765240295,,9.819999999999999,8.857142857142858,,9.253333333333332,,9.792233478051134,73.46622271166639,8.355879678058356,,0.02,0
22,2021-08-03 13:45:00+05:30,10.5,10.5,10.1,10.1,1250,100825,9.292533765240295,1,9.292533765240295,,9.94,9.007142857142856,,9.419047619047618,,9.807635009310989,66.62762704550681,8.447762084497189,,0.02,0
23,2021-08-03 14:15:00+05:30,10.1,14.2,9.8,14.2,14900,101275,10.490432970380624,1,10.490432970380624,,10.919999999999998,9.435714285714285,,10.11142857142857,,10.667455621301775,83.540250617039,8.537806842807244,,0.04,0
24,2021-08-03 14:45:00+05:30,14.05,14.4,12.7,13.75,25500,103475,12.013228260326251,1,12.013228260326251,,11.729999999999999,9.835714285714285,,10.686666666666666,,11.654396325459318,78.8188861417655,8.764294569094954,,0.06,0
25,2021-08-03 15:15:00+05:30,13.75,14.9,13.35,13.5,6350,104625,12.586338508851071,1,12.586338508851071,,12.409999999999998,10.224999999999998,,11.175238095238093,,11.828417120936807,76.2409495612427,9.102436894949257,,0.08,0
26,2021-08-04 09:15:00+05:30,16.75,19.0,12.65,17.7,57650,109875,13.59900443615806,1,13.59900443615806,,13.849999999999998,10.910714285714283,,12.17190476190476,,16.45,85.07359915225604,9.566241943353317,,0.1,0
27,2021-08-04 09:45:00+05:30,17.8,18.25,16.8,17.25,26100,98475,15.409860945278336,1,15.409860945278336,,15.279999999999996,11.549999999999997,9.826785714285714,13.017142857142854,,16.75644776119403,81.57443819362715,10.509617749017986,,0.1,0
28,2021-08-04 10:15:00+05:30,17.25,18.4,17.1,18.05,13250,94375,15.751309381667147,1,15.751309381667147,,16.049999999999994,12.214285714285712,10.185714285714285,13.883809523809521,,16.90582474226804,82.91947016729952,11.358655974116187,,0.1,0
29,2021-08-04 10:45:00+05:30,18.05,18.95,17.1,18.2,25450,86225,16.04755089857184,1,16.04755089857184,,16.939999999999994,12.860714285714282,10.544642857142858,14.68190476190476,,17.150558050905133,83.16758022989512,12.122790376704568,,0.1,0
30,2021-08-04 11:15:00+05:30,18.2,18.2,16.25,17.5,23750,88975,16.04755089857184,1,16.04755089857184,,17.739999999999995,13.524999999999997,10.882142857142856,15.300476190476187,,17.177542179662566,77.50925304871967,12.810511339034111,,0.1,0
31,2021-08-04 11:45:00+05:30,17.5,17.65,14.85,17.6,25250,84975,16.04755089857184,1,16.04755089857184,,17.71999999999999,14.103571428571426,11.225,15.843809523809522,,17.107212987265484,77.74222433336777,13.4294602051307,,0.1,0
32,2021-08-04 12:15:00+05:30,17.6,17.85,16.35,17.25,4550,86075,16.04755089857184,1,16.04755089857184,,17.71999999999999,14.671428571428567,11.553571428571429,16.263333333333332,,17.10831912878788,74.8209362878957,13.986514184617631,,0.1,0
33,2021-08-04 12:45:00+05:30,17.25,17.95,16.45,16.6,19050,93275,16.04755089857184,1,16.04755089857184,,17.429999999999996,15.164285714285711,11.858928571428573,16.52047619047619,,17.09773989575323,69.5909541471408,14.487862766155867,,0.1,0
34,2021-08-04 13:15:00+05:30,16.6,17.65,16.6,17.15,4750,94825,16.04755089857184,1,16.04755089857184,,17.21999999999999,15.667857142857141,12.178571428571429,16.785238095238096,,17.098586086086087,71.4118974149167,14.93907648954028,,0.1,0
35,2021-08-04 13:45:00+05:30,17.15,17.8,17.15,17.5,4000,94225,16.04755089857184,1,16.04755089857184,,17.21999999999999,16.16785714285714,12.512500000000001,17.02952380952381,,17.106137553156692,72.53884186518233,15.345168840586252,,0.1,0
36,2021-08-04 14:15:00+05:30,17.5,17.5,16.85,16.9,3950,92625,16.04755089857184,1,16.04755089857184,,17.079999999999995,16.65357142857143,12.830357142857142,17.127142857142857,,17.105703971119137,67.61791572566042,15.710651956527627,,0.1,0
37,2021-08-04 14:45:00+05:30,16.9,18.1,16.65,18.0,9650,93325,16.04755089857184,1,16.04755089857184,,17.229999999999997,16.925,13.180357142857144,17.30666666666667,,17.12690509046305,71.44279744216088,16.039586760874865,,0.1,0
38,2021-08-04 15:15:00+05:30,18.0,18.05,16.65,16.85,9200,95025,16.04755089857184,1,16.04755089857184,,17.279999999999994,17.14642857142857,13.49107142857143,17.296666666666667,,17.129196087084438,63.057136575479454,16.33562808478738,,0.1,0
39,2021-08-05 09:15:00+05:30,16.75,16.95,14.6,14.95,11000,94575,17.379546403454967,-1,,17.379546403454967,16.839999999999996,17.249999999999996,13.7375,17.003809523809526,,15.5,52.163227592565555,,19.0,0.02,1
40,2021-08-05 09:45:00+05:30,15.0,15.5,13.8,14.5,9300,94325,16.26818263153283,-1,,16.26818263153283,16.239999999999995,17.02142857142857,13.966071428571428,16.63714285714286,,15.087684729064039,49.96167005542023,,18.912,0.04,0
41,2021-08-05 10:15:00+05:30,14.5,15.1,13.8,14.55,15050,102125,16.02272796988528,-1,,16.02272796988528,15.769999999999996,16.82857142857143,14.189285714285715,16.30761904761905,,14.830386610089581,50.21310336665482,,18.70752,0.04,0
42,2021-08-05 10:45:00+05:30,14.55,16.4,14.55,16.15,14350,105525,13.862661740098329,1,13.862661740098329,,15.399999999999995,16.692857142857143,14.453571428571427,16.21714285714286,,15.08147216633132,57.561818835659686,,18.5112192,0.04,0
43,2021-08-05 11:15:00+05:30,16.15,16.4,15.9,16.0,1800,92925,14.696567205798566,1,14.696567205798566,,15.229999999999995,16.535714285714285,14.698214285714286,16.124761904761908,12.338636363636363,15.117071197411002,56.71661273758443,,18.322770432,0.04,0
44,2021-08-05 11:45:00+05:30,16.0,17.1,15.35,15.35,4600,94425,14.72920046211306,1,14.72920046211306,,15.309999999999993,16.382142857142856,14.953571428571431,15.966666666666669,12.505681818181818,15.184001782531194,53.079461165368116,,18.141859614719998,0.04,0
45,2021-08-05 12:15:00+05:30,15.35,17.95,15.35,17.5,9850,94575,14.996457538954049,1,14.996457538954049,,15.909999999999993,16.375,15.239285714285716,16.115714285714287,12.718181818181819,15.445274197624464,61.80459373854501,,17.968185230131198,0.04,0
46,2021-08-05 12:45:00+05:30,17.5,20.05,17.5,19.8,8900,94075,16.993392176246328,1,16.993392176246328,,16.959999999999994,16.557142857142857,15.614285714285716,16.572380952380954,12.985227272727274,15.881819193943443,68.54355222942597,13.8,,0.02,1
47,2021-08-05 13:15:00+05:30,19.8,20.4,18.95,19.4,6700,95325,17.94076472249685,1,17.94076472249685,,17.609999999999996,16.75714285714286,15.960714285714287,16.951428571428572,13.244318181818182,16.185928877988964,66.35101949278773,13.925,,0.04,0
48,2021-08-05 13:45:00+05:30,19.4,20.4,18.05,20.1,8100,95525,17.94076472249685,1,17.94076472249685,,18.429999999999996,16.967857142857145,16.317857142857143,17.397142857142857,13.51818181818182,16.48686558839933,68.26418219285485,14.184000000000001,,0.04,0
