,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SMA_5,SMA_14,SMA_28,WMA_14,date,open,high,low,close,volume,oi,VWAP_D,RSI_14,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-11-01 14:15:00+05:30,268.0,268.0,235.9,265.0,500,300,0.0,1,,,,,,,2021-11-01 14:15:00+05:30,268.0,268.0,235.9,265.0,500,300,256.3,,,,0.02,0
1,2021-11-01 14:45:00+05:30,265.0,266.05,265.0,266.05,100,400,,1,,,,,,,2021-11-01 14:45:00+05:30,265.0,266.05,265.0,266.05,100,400,257.8666666666667,,170.0,,0.02,0
2,2021-11-01 15:15:00+05:30,266.05,266.05,266.05,266.05,0,400,,1,,,,,,,2021-11-01 15:15:00+05:30,266.05,266.05,266.05,266.05,0,400,257.8666666666667,,171.96,,0.02,0
3,2021-11-02 09:45:00+05:30,291.9,291.9,291.9,291.9,0,500,,1,,,,,,,2021-11-02 09:45:00+05:30,291.9,291.9,291.9,291.9,0,500,,,173.88080000000002,,0.04,0
4,2021-11-02 10:15:00+05:30,291.9,291.9,291.9,291.9,0,500,,1,,,276.18,,,,2021-11-02 10:15:00+05:30,291.9,291.9,291.9,291.9,0,500,,,178.60156800000001,,0.04,0
5,2021-11-02 10:45:00+05:30,291.9,291.9,291.9,291.9,0,500,,1,,,281.56000000000006,,,,2021-11-02 10:45:00+05:30,291.9,291.9,291.9,291.9,0,500,,,183.13350528,,0.04,0
6,2021-11-02 11:15:00+05:30,291.9,291.9,291.9,291.9,0,500,,1,,,286.73,,,,2021-11-02 11:15:00+05:30,291.9,291.9,291.9,291.9,0,500,,,187.4841650688,,0.04,0
7,2021-11-02 11:45:00+05:30,291.9,291.9,264.1,264.1,100,600,270.1857142857143,1,270.1857142857143,,286.34000000000003,,,,2021-11-02 11:45:00+05:30,291.9,291.9,264.1,264.1,100,600,273.3666666666667,,191.660798466048,,0.04,0
8,2021-11-02 12:15:00+05:30,264.1,264.1,264.1,264.1,0,700,270.79795918367347,-1,,270.79795918367347,280.78000000000003,,,,2021-11-02 12:15:00+05:30,264.1,264.1,264.1,264.1,0,700,273.3666666666667,,195.67036652740606,,0.04,0
9,2021-11-02 12:45:00+05:30,264.1,264.1,264.1,264.1,0,700,269.8411078717201,-1,,269.8411078717201,275.21999999999997,,,,2021-11-02 12:45:00+05:30,264.1,264.1,264.1,264.1,0,700,273.3666666666667,,199.51955186630983,,0.04,0
