,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2,SUPERT_7_0.3,SUPERTd_7_0.3,SUPERTl_7_0.3,SUPERTs_7_0.3
0,2021-05-12 09:15:00+05:30,349.1,349.1,329.0,346.75,3750,22450,,,0.06,False,0.0,1,,
1,2021-05-12 09:20:00+05:30,346.75,385.6,341.6,371.05,4700,22850,,,0.06,False,,1,,
2,2021-05-12 09:25:00+05:30,371.05,372.85,354.15,360.45,5100,24450,,349.1,0.06,True,,1,,
3,2021-05-12 09:30:00+05:30,360.45,386.4,356.3,383.3,7375,24875,354.15,,0.06,True,,1,,
4,2021-05-12 09:35:00+05:30,383.3,409.9,383.3,409.9,9350,26525,354.15,,0.06,False,,1,,
5,2021-05-12 09:40:00+05:30,409.9,409.9,382.0,382.0,4875,27250,356.3,,0.12,False,,1,,
6,2021-05-12 09:45:00+05:30,382.0,400.0,382.0,392.0,2925,28350,362.732,,0.12,False,383.28445994992705,1,383.28445994992705,
7,2021-05-12 09:50:00+05:30,392.0,398.25,384.0,391.55,2625,29175,368.39216000000005,,0.12,False,384.103047308751,1,384.103047308751,
8,2021-05-12 09:55:00+05:30,391.55,391.55,364.0,373.6,7675,33050,,409.9,0.12,True,385.0336398835364,-1,,385.0336398835364
9,2021-05-12 10:00:00+05:30,373.5,380.0,365.0,367.05,4825,35100,,407.14599999999996,0.06,False,379.25721411651494,-1,,379.25721411651494
10,2021-05-12 10:05:00+05:30,367.05,375.6,360.15,373.7,1825,35900,,404.55724,0.06,False,374.2609153006302,-1,,374.2609153006302
11,2021-05-12 10:10:00+05:30,373.7,398.0,370.85,398.0,4925,35725,,399.22837119999997,0.12,False,377.74089071175337,1,377.74089071175337,
12,2021-05-12 10:15:00+05:30,401.0,404.8,380.85,392.45,3275,35825,360.15,,0.12,True,386.0581862928151,1,386.0581862928151,
13,2021-05-12 10:20:00+05:30,392.45,426.9,392.45,426.9,5625,35975,362.82899999999995,,0.06,False,402.3318540356558,1,402.3318540356558,
14,2021-05-12 10:25:00+05:30,426.9,427.1,408.05,424.3,3625,36725,370.51751999999993,,0.12,False,410.49001371658073,1,410.49001371658073,
