,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SMA_5,SMA_14,SMA_28,WMA_14,SMA_44,VWAP_D,RSI_14,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-10-05 10:47:00+05:30,300.05,300.05,300.05,300.05,0,0,0.0,1,,,,,,,,,,,,0.02,0
1,2021-10-05 10:48:00+05:30,300.05,300.05,300.05,300.05,0,0,,1,,,,,,,,,,206.3,,0.02,0
2,2021-10-05 10:49:00+05:30,300.05,300.05,300.05,300.05,0,0,,1,,,,,,,,,,208.175,,0.02,0
3,2021-10-05 10:50:00+05:30,300.05,300.05,300.05,300.05,0,0,,1,,,,,,,,,,210.01250000000002,,0.02,0
4,2021-10-05 10:51:00+05:30,300.05,300.05,300.05,300.05,0,0,,1,,,300.05,,,,,,,211.81325,,0.02,0
5,2021-10-05 10:52:00+05:30,300.05,300.05,300.05,300.05,0,0,,1,,,300.05,,,,,,,213.577985,,0.02,0
6,2021-10-05 10:53:00+05:30,300.05,300.05,300.05,300.05,0,0,,1,,,300.05,,,,,,,215.3074253,,0.02,0
7,2021-10-05 10:54:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,,,,,,,217.002276794,,0.02,0
8,2021-10-05 10:55:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,,,,,,,218.66323125812002,,0.02,0
9,2021-10-05 10:56:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,,,,,,,220.29096663295763,,0.02,0
10,2021-10-05 10:57:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,,,,,,,221.8861473002985,,0.02,0
11,2021-10-05 10:58:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,,,,,,,223.44942435429252,,0.02,0
12,2021-10-05 10:59:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,,,,,,,224.98143586720667,,0.02,0
13,2021-10-05 11:00:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,,226.48280714986254,,0.02,0
14,2021-10-05 11:01:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,227.9541510068653,,0.02,0
15,2021-10-05 11:02:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,229.39606798672799,,0.02,0
16,2021-10-05 11:03:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,230.80914662699342,,0.02,0
17,2021-10-05 11:04:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,232.19396369445354,,0.02,0
18,2021-10-05 11:05:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,233.55108442056448,,0.02,0
19,2021-10-05 11:06:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,234.8810627321532,,0.02,0
20,2021-10-05 11:07:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,236.18444147751012,,0.02,0
21,2021-10-05 11:08:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,237.4617526479599,,0.02,0
22,2021-10-05 11:09:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,238.71351759500072,,0.02,0
23,2021-10-05 11:10:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,239.9402472431007,,0.02,0
24,2021-10-05 11:11:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,241.1424422982387,,0.02,0
25,2021-10-05 11:12:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,242.32059345227393,,0.02,0
26,2021-10-05 11:13:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,,300.05,,,0.0,243.47518158322845,,0.02,0
27,2021-10-05 11:14:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,244.60667795156388,,0.02,0
28,2021-10-05 11:15:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,245.7155443925326,,0.02,0
29,2021-10-05 11:16:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,246.80223350468194,,0.02,0
30,2021-10-05 11:17:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,247.8671888345883,,0.02,0
31,2021-10-05 11:18:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,248.91084505789652,,0.02,0
32,2021-10-05 11:19:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,249.9336281567386,,0.02,0
33,2021-10-05 11:20:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,250.9359555936038,,0.02,0
34,2021-10-05 11:21:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,251.91823648173173,,0.02,0
35,2021-10-05 11:22:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,252.88087175209708,,0.02,0
36,2021-10-05 11:23:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,253.82425431705514,,0.02,0
37,2021-10-05 11:24:00+05:30,300.05,300.05,300.05,300.05,0,0,300.05,1,300.05,,300.05,300.05000000000007,300.0500000000001,300.05,,,0.0,254.74876923071403,,0.02,0
