,Name,Time,LTQ,callSP,putSP
0,COFORGE,2021-10-27 01:54:19.209739,200.0,6600.0,5300.0
1,HCLTECH,2021-10-27 01:54:26.072452,700.0,1530.0,1230.0
2,LTI,2021-10-27 01:54:40.243863,150.0,6500.0,5600.0
3,LTTS,2021-10-27 01:54:50.080188,200.0,4500.0,5300.0
4,MPHASIS,2021-10-27 01:55:02.822463,325.0,3250.0,1350.0
5,TCS,2021-10-27 01:55:18.132687,300.0,3300.0,3560.0
6,TECHM,2021-10-27 01:55:27.864583,600.0,1530.0,1350.0
7,WIPRO,2021-10-27 01:55:35.870337,1600.0,640.0,730.0
