,date,open,high,low,close,volume,oi,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,SUPERT_4_0.6,SUPERTd_4_0.6,SUPERTl_4_0.6,SUPERTs_4_0.6,SUPERT_10_1.2,SUPERTd_10_1.2,SUPERTl_10_1.2,SUPERTs_10_1.2,SUPERT_15_1.4,SUPERTd_15_1.4,SUPERTl_15_1.4,SUPERTs_15_1.4,SUPERT_4_0.4,SUPERTd_4_0.4,SUPERTl_4_0.4,SUPERTs_4_0.4,SMA_44,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-08-04 09:15:00+05:30,35388.15,35598.7,35332.75,35598.7,0,0,0.0,1,,,0.0,1,,,0.0,1,,,0.0,1,,,0.0,1,,,,,,0.02,False
1,2021-08-04 09:45:00+05:30,35594.3,35663.8,35542.15,35619.1,0,0,,1,,,,1,,,,1,,,,1,,,,1,,,,,,0.02,False
2,2021-08-04 10:15:00+05:30,35618.1,35869.25,35618.1,35852.65,0,0,,1,,,,1,,,,1,,,,1,,,,1,,,,,35598.7,0.02,True
3,2021-08-04 10:45:00+05:30,35847.4,35983.75,35843.55,35974.1,0,0,,1,,,35801.91954285715,1,35801.91954285715,,,1,,,,1,,,35839.16302857143,1,35839.16302857143,,,35618.1,,0.02,True
4,2021-08-04 11:15:00+05:30,35973.75,35973.9,35772.85,35777.1,0,0,,1,,,35988.06192701664,-1,,35988.06192701664,,1,,,,1,,,35949.83295134443,-1,,35949.83295134443,,35618.1,,0.02,False
5,2021-08-04 11:45:00+05:30,35775.85,35905.1,35686.5,35905.1,0,0,,1,,,35915.496854766854,-1,,35915.496854766854,,1,,,,1,,,35875.597903177906,-1,,35875.597903177906,,35625.413,,0.02,False
6,2021-08-04 12:15:00+05:30,35904.0,35955.55,35858.95,35942.3,0,0,35376.516311140214,1,35376.516311140214,,35805.364947524125,1,35805.364947524125,,,1,,,,1,,,35839.32663168275,1,35839.32663168275,,,35632.57974,,0.02,False
7,2021-08-04 12:45:00+05:30,35942.05,35963.05,35842.9,35882.4,0,0,35406.56923997934,1,35406.56923997934,,35809.36738948707,1,35809.36738948707,,,1,,,,1,,,35840.56992632472,1,35840.56992632472,,,35639.6031452,,0.02,False
8,2021-08-04 13:15:00+05:30,35882.7,36047.0,35863.55,36039.25,0,0,35448.5977799867,1,35448.5977799867,,35857.217687648736,1,35857.217687648736,,,1,,,,1,,,35889.90345843249,1,35889.90345843249,,,35646.486082296,,0.02,False
9,2021-08-04 13:45:00+05:30,36044.65,36136.4,36003.9,36136.4,0,0,35583.31744025322,1,35583.31744025322,,35977.00886284053,1,35977.00886284053,,35871.604645699765,1,35871.604645699765,,,1,,,36008.05590856035,1,36008.05590856035,,,35662.50663900416,,0.04,False
