,name,ltq,Trade,ltp,high,low,PCR,HTH,LTL,superTrend,14MACrossed28,44DMA,VWAP,PSAR,instrument_token,last Updated
0,COALINDIA,4200.0,NO,175.05,176.0,171.75,0,Less,Was LTL | 173.0,"No buy, but in Long",crossed above,buy,buy,In Long,5215745,2021-10-27 01:56:05.290620
1,HINDALCO,2150.0,YES,486.05,488.0,472.55,0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Long,348929,2021-10-27 01:56:11.865030
2,JINDALSTEL,2500.0,YES,445.7,448.9,426.55,0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Long,1723649,2021-10-27 01:56:18.249645
3,JSWSTEEL,1350.0,YES,694.35,697.45,674.5,0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Long,3001089,2021-10-27 01:56:25.226685
4,NATIONALUM,17000.0,NO,106.8,107.75,102.25,0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Long,1629185,2021-10-27 01:56:34.289871
5,NMDC,,,142.55,143.3,139.75,0,Less,No,"No buy, but in Long",crossed above,buy,buy,In Long,3924993,2021-10-27 01:56:41.898651
6,SAIL,6700.0,NO,119.9,120.7,116.1,0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Long,758529,2021-10-27 01:56:49.271643
7,TATASTEEL,,,1343.65,1351.0,1301.45,0,HTH,No,"No buy, but in Long",crossed above,buy,buy,In Long,895745,2021-10-27 01:56:56.256665
8,VEDL,9500.0,NO,330.55,332.6,320.45,0,Was HTH | 332.25,No,"No buy, but in Long",crossed above,buy,buy,In Long,784129,2021-10-27 01:57:06.070824
