,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2,SUPERT_7_0.3,SUPERTd_7_0.3,SUPERTl_7_0.3,SUPERTs_7_0.3
0,2021-05-07 09:15:00+05:30,6.9,8.4,6.9,8.2,9350,158950,,,0.06,False,0.0,1,,
1,2021-05-07 09:20:00+05:30,8.2,8.9,8.2,8.85,21250,162350,,,0.06,False,,1,,
2,2021-05-07 09:25:00+05:30,8.85,8.85,7.2,7.3,47600,178500,,8.4,0.06,True,,1,,
3,2021-05-07 09:30:00+05:30,7.3,7.65,7.15,7.6,27200,189550,,8.9,0.06,False,,1,,
4,2021-05-07 09:35:00+05:30,7.6,7.85,7.5,7.7,16150,197200,,8.85,0.12,False,,1,,
5,2021-05-07 09:40:00+05:30,7.7,7.7,7.45,7.65,14450,190400,,8.645999999999999,0.12,False,,1,,
6,2021-05-07 09:45:00+05:30,7.65,7.95,7.65,7.95,5950,190400,,8.466479999999999,0.12,False,72.66160632589352,1,72.66160632589352,
7,2021-05-07 09:50:00+05:30,7.95,8.0,7.65,7.9,8500,193800,,8.308502399999998,0.12,False,72.66160632589352,1,72.66160632589352,
8,2021-05-07 09:55:00+05:30,7.9,8.3,7.75,7.75,8500,190400,7.15,,0.12,True,71.84415033555884,-1,,71.84415033555884
9,2021-05-07 10:00:00+05:30,7.75,7.75,7.65,7.65,1700,187850,7.219,,0.06,False,71.34299216672105,-1,,71.34299216672105
10,2021-05-07 10:05:00+05:30,7.65,7.7,7.55,7.55,5950,183600,7.283860000000001,,0.06,False,71.34299216672105,-1,,71.34299216672105
11,2021-05-07 10:10:00+05:30,7.55,7.9,7.55,7.9,850,184450,7.344828400000001,,0.06,False,71.02221245159213,-1,,71.02221245159213
12,2021-05-07 10:15:00+05:30,7.9,8.25,7.9,8.25,12750,185300,7.402138696000001,,0.06,False,69.83988257227266,-1,,69.83988257227266
13,2021-05-07 10:20:00+05:30,8.25,8.3,8.1,8.2,6800,192950,7.456010374240001,,0.06,False,68.91883288625336,-1,,68.91883288625336
14,2021-05-07 10:25:00+05:30,8.2,8.3,8.15,8.3,6800,193800,7.5066497517856,,0.06,False,68.91883288625336,-1,,68.91883288625336
15,2021-05-07 10:30:00+05:30,8.3,8.3,7.95,7.95,11050,200600,7.554250766678464,,0.06,False,68.91515824375912,-1,,68.91515824375912
16,2021-05-07 10:35:00+05:30,7.95,7.95,7.7,7.8,7650,203150,7.598995720677757,,0.06,False,69.11028725632008,1,69.11028725632008,
17,2021-05-07 10:40:00+05:30,7.8,7.85,7.5,7.65,7650,205700,,8.3,0.06,True,70.71786146042294,1,70.71786146042294,
18,2021-05-07 10:45:00+05:30,7.65,8.2,7.65,8.05,6800,209950,,8.252,0.06,False,70.75148511018834,1,70.75148511018834,
19,2021-05-07 10:50:00+05:30,8.05,8.05,7.55,7.65,5950,210800,,8.20688,0.06,False,72.80396047047117,1,72.80396047047117,
20,2021-05-07 10:55:00+05:30,7.65,7.65,7.5,7.5,2550,209100,,8.2,0.06,False,73.2588544943583,1,73.2588544943583,
21,2021-05-07 11:00:00+05:30,7.5,7.5,7.5,7.5,0,209100,,8.158,0.06,False,73.2588544943583,1,73.2588544943583,
22,2021-05-07 11:05:00+05:30,7.5,7.8,7.5,7.65,4250,209100,,8.11852,0.06,False,73.30216408570557,1,73.30216408570557,
23,2021-05-07 11:10:00+05:30,7.65,7.65,7.45,7.45,2550,209100,,8.0814088,0.06,False,74.98490349231642,1,74.98490349231642,
24,2021-05-07 11:15:00+05:30,7.45,7.45,7.4,7.45,3400,210800,,8.005639744,0.12,False,75.32305319202358,1,75.32305319202358,
25,2021-05-07 11:20:00+05:30,7.45,7.55,7.45,7.55,1700,211650,,7.89662459008,0.18,False,75.32305319202358,1,75.32305319202358,
26,2021-05-07 11:25:00+05:30,7.55,7.6,7.3,7.35,3400,213350,,7.8072321638656,0.18,False,75.85398701622793,1,75.85398701622793,
27,2021-05-07 11:30:00+05:30,7.35,7.35,6.95,7.2,21250,213350,,7.70578573109248,0.2,False,80.01161021941327,1,80.01161021941327,
28,2021-05-07 11:35:00+05:30,7.2,7.25,6.9,7.25,11050,217600,,7.6,0.2,False,84.84981666196686,1,84.84981666196686,
29,2021-05-07 11:40:00+05:30,7.25,7.25,6.7,6.9,9350,219300,,7.46,0.2,False,87.95004764535487,1,87.95004764535487,
30,2021-05-07 11:45:00+05:30,6.9,6.9,6.7,6.75,20400,219300,,7.308,0.2,False,92.61872662239257,1,92.61872662239257,
31,2021-05-07 11:50:00+05:30,6.75,6.75,6.45,6.65,9350,215050,,7.25,0.2,False,99.63848514222062,1,99.63848514222062,
