,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-05-03 09:15:00+05:30,108.0,108.0,77.9,91.7,1694100,1239225,,,0.06,False
1,2021-05-03 09:20:00+05:30,91.8,104.65,83.85,104.1,1352325,1433625,,,0.06,False
2,2021-05-03 09:25:00+05:30,104.05,114.9,97.1,112.0,1186725,1548825,,108.0,0.06,True
3,2021-05-03 09:30:00+05:30,112.6,114.75,102.0,108.15,953400,1587075,97.1,,0.06,True
4,2021-05-03 09:35:00+05:30,108.3,110.25,98.95,109.45,613275,1596975,97.1,,0.06,False
5,2021-05-03 09:40:00+05:30,109.55,121.0,106.9,119.55,1141575,1621425,98.15899999999999,,0.06,False
6,2021-05-03 09:45:00+05:30,119.65,125.0,112.75,122.1,1033575,1733925,98.95,,0.12,False
7,2021-05-03 09:50:00+05:30,122.5,122.85,115.95,119.2,721125,1772400,103.639,,0.18,False
8,2021-05-03 09:55:00+05:30,119.2,121.95,109.4,116.2,734250,1809300,107.48398,,0.18,False
9,2021-05-03 10:00:00+05:30,116.45,120.45,112.6,113.6,616275,1772400,109.4,,0.18,False
10,2021-05-03 10:05:00+05:30,113.5,118.25,105.25,109.25,597600,1763325,,125.0,0.18,True
11,2021-05-03 10:10:00+05:30,109.55,116.1,106.25,113.9,533475,1729425,,123.815,0.06,False
12,2021-05-03 10:15:00+05:30,113.65,118.0,107.3,108.35,512925,1760850,,122.7011,0.06,False
13,2021-05-03 10:20:00+05:30,108.25,108.8,99.9,104.9,660150,1747875,,121.654034,0.06,False
14,2021-05-03 10:25:00+05:30,103.9,106.85,99.3,106.05,416925,1771200,,119.04354992,0.12,False
15,2021-05-03 10:30:00+05:30,106.25,109.7,101.8,108.5,378450,1795800,,115.48971093440001,0.18,False
16,2021-05-03 10:35:00+05:30,108.4,124.75,105.2,122.75,755700,1819500,99.3,,0.18,True
17,2021-05-03 10:40:00+05:30,122.1,129.15,120.0,128.0,1008825,1811550,100.827,,0.06,False
18,2021-05-03 10:45:00+05:30,128.6,138.0,128.45,132.0,1065450,1798200,104.22576,,0.12,False
19,2021-05-03 10:50:00+05:30,131.3,132.8,120.75,123.45,613050,1847475,110.3051232,,0.18,False
20,2021-05-03 10:55:00+05:30,123.55,123.8,111.65,117.5,608400,1882650,,138.0,0.18,True
21,2021-05-03 11:00:00+05:30,118.05,119.7,104.95,110.85,840900,1940775,,136.419,0.06,False
22,2021-05-03 11:05:00+05:30,110.55,115.95,107.0,114.3,486900,1943850,,132.64272,0.12,False
23,2021-05-03 11:10:00+05:30,114.3,115.3,107.1,112.4,383850,1953975,,129.3195936,0.12,False
24,2021-05-03 11:15:00+05:30,112.8,118.85,108.75,115.6,431550,1967175,,126.395242368,0.12,False
25,2021-05-03 11:20:00+05:30,115.6,117.95,110.4,112.55,291300,1988475,,123.82181328384,0.12,False
26,2021-05-03 11:25:00+05:30,112.95,120.8,112.55,115.15,488475,2059425,,121.5571956897792,0.12,False
27,2021-05-03 11:30:00+05:30,115.0,115.0,106.35,109.9,490350,2054025,,120.8,0.12,False
28,2021-05-03 11:35:00+05:30,109.5,111.7,106.6,111.15,317175,2064825,,120.8,0.12,False
29,2021-05-03 11:40:00+05:30,111.5,113.7,106.35,108.5,284550,2078775,,118.898,0.12,False
30,2021-05-03 11:45:00+05:30,108.75,108.75,99.35,105.45,617475,2054475,,117.22424,0.12,False
