,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-05-03 09:15:00+05:30,243.75,243.75,134.95,156.95,126500,146450,,,0.06,False
1,2021-05-03 09:20:00+05:30,156.45,179.85,136.4,178.55,138525,167425,,,0.06,False
2,2021-05-03 09:25:00+05:30,178.2,200.0,163.7,189.5,155650,176650,,243.75,0.06,True
3,2021-05-03 09:30:00+05:30,188.6,191.8,156.75,161.0,94225,187775,,238.947,0.06,False
4,2021-05-03 09:35:00+05:30,160.2,179.0,146.55,177.75,68750,198625,,229.08336,0.12,False
5,2021-05-03 09:40:00+05:30,178.5,184.2,167.75,178.0,35750,198100,,214.2273552,0.18,False
