,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SMA_5,SMA_14,date,open,high,low,close,volume,oi,WMA_14,date,open,high,low,close,volume,oi,VWAP_D,RSI_14,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-10-26 14:15:00+05:30,510.0,510.0,510.0,510.0,0,0,0.0,1,,,,,2021-10-26 14:15:00+05:30,510.0,510.0,510.0,510.0,0,0,,2021-10-26 14:15:00+05:30,510.0,510.0,510.0,510.0,0,0,,,,,0.02,0
1,2021-10-26 14:45:00+05:30,510.0,510.0,510.0,510.0,0,0,,1,,,,,2021-10-26 14:45:00+05:30,510.0,510.0,510.0,510.0,0,0,,2021-10-26 14:45:00+05:30,510.0,510.0,510.0,510.0,0,0,,,158.0,,0.02,0
2,2021-10-26 15:15:00+05:30,510.0,510.0,510.0,510.0,0,0,,1,,,,,2021-10-26 15:15:00+05:30,510.0,510.0,510.0,510.0,0,0,,2021-10-26 15:15:00+05:30,510.0,510.0,510.0,510.0,0,0,,,165.04,,0.02,0
3,2021-10-27 12:45:00+05:30,455.0,455.0,455.0,455.0,0,100,,1,,,,,2021-10-27 12:45:00+05:30,455.0,455.0,455.0,455.0,0,100,,2021-10-27 12:45:00+05:30,455.0,455.0,455.0,455.0,0,100,,,171.9392,,0.02,0
4,2021-10-27 13:15:00+05:30,455.0,455.0,455.0,455.0,0,100,,1,,,488.0,,2021-10-27 13:15:00+05:30,455.0,455.0,455.0,455.0,0,100,,2021-10-27 13:15:00+05:30,455.0,455.0,455.0,455.0,0,100,,,178.700416,,0.02,0
5,2021-10-27 13:45:00+05:30,455.0,455.0,455.0,455.0,0,100,,1,,,477.0,,2021-10-27 13:45:00+05:30,455.0,455.0,455.0,455.0,0,100,,2021-10-27 13:45:00+05:30,455.0,455.0,455.0,455.0,0,100,,,185.32640768,,0.02,0
6,2021-10-27 14:15:00+05:30,455.0,455.0,455.0,455.0,0,100,,1,,,466.0,,2021-10-27 14:15:00+05:30,455.0,455.0,455.0,455.0,0,100,,2021-10-27 14:15:00+05:30,455.0,455.0,455.0,455.0,0,100,,,191.8198795264,,0.02,0
7,2021-10-27 14:45:00+05:30,455.0,455.0,455.0,455.0,0,100,447.14285714285717,1,447.14285714285717,,455.0,,2021-10-27 14:45:00+05:30,455.0,455.0,455.0,455.0,0,100,,2021-10-27 14:45:00+05:30,455.0,455.0,455.0,455.0,0,100,,,198.183481935872,,0.02,0
8,2021-10-27 15:15:00+05:30,455.0,455.0,455.0,455.0,0,100,448.265306122449,1,448.265306122449,,455.0,,2021-10-27 15:15:00+05:30,455.0,455.0,455.0,455.0,0,100,,2021-10-27 15:15:00+05:30,455.0,455.0,455.0,455.0,0,100,,,204.41981229715458,,0.02,0
9,2021-10-29 13:45:00+05:30,349.95,349.95,349.85,349.85,100,300,370.6940233236151,-1,,370.6940233236151,433.96999999999997,,2021-10-29 13:45:00+05:30,349.95,349.95,349.85,349.85,100,300,,2021-10-29 13:45:00+05:30,349.95,349.95,349.85,349.85,100,300,349.8833333333334,,210.5314160512115,,0.02,0
10,2021-10-29 14:15:00+05:30,349.85,349.85,229.6,238.0,300,400,324.72701999167015,-1,,324.72701999167015,390.57,,2021-10-29 14:15:00+05:30,349.85,349.85,229.6,238.0,300,400,,2021-10-29 14:15:00+05:30,349.85,349.85,229.6,238.0,300,400,291.83333333333337,,216.52078773018727,,0.02,0
11,2021-10-29 14:45:00+05:30,238.0,250.0,233.9,246.25,1600,1400,274.25173142143154,-1,,274.25173142143154,348.82,,2021-10-29 14:45:00+05:30,238.0,250.0,233.9,246.25,1600,1400,,2021-10-29 14:45:00+05:30,238.0,250.0,233.9,246.25,1600,1400,253.07333333333332,,222.39037197558352,,0.02,0
12,2021-10-29 15:15:00+05:30,246.25,254.0,246.25,254.0,1000,1200,274.25173142143154,-1,,274.25173142143154,308.62,,2021-10-29 15:15:00+05:30,246.25,254.0,246.25,254.0,1000,1200,,2021-10-29 15:15:00+05:30,246.25,254.0,246.25,254.0,1000,1200,252.52111111111108,,228.14256453607186,,0.02,0
13,2021-11-01 09:15:00+05:30,246.6,246.6,201.0,205.0,3600,2100,256.0522924728885,-1,,256.0522924728885,258.62,396.65000000000003,2021-11-01 09:15:00+05:30,246.6,246.6,201.0,205.0,3600,2100,343.31904761904764,2021-11-01 09:15:00+05:30,246.6,246.6,201.0,205.0,3600,2100,217.53333333333333,,,510.0,0.02,1
14,2021-11-01 09:45:00+05:30,205.0,213.5,185.45,188.7,4400,4000,231.12696497676154,-1,,231.12696497676154,226.38999999999996,373.7,2021-11-01 09:45:00+05:30,205.0,213.5,185.45,188.7,4400,4000,315.592380952381,2021-11-01 09:45:00+05:30,205.0,213.5,185.45,188.7,4400,4000,205.6258333333333,4.528729125389187,,503.82,0.04,0
15,2021-11-01 10:15:00+05:30,188.7,196.0,175.0,193.7,5900,6000,215.63025569436704,-1,,215.63025569436704,217.52999999999997,351.10714285714283,2021-11-01 10:15:00+05:30,188.7,196.0,175.0,193.7,5900,6000,291.592380952381,2021-11-01 10:15:00+05:30,188.7,196.0,175.0,193.7,5900,6000,198.24340527577937,5.961955006540991,,491.0852,0.06,0
