,Name,Time,LTQ,callSP,putSP
0,ASIANPAINT,2021-10-27 01:51:48.977426,300,2980.0,3240.0
1,BERGEPAINT,2021-10-27 01:51:58.856520,1100,750.0,840.0
2,DIXON,2021-10-27 01:52:06.322509,125,5300.0,3700.0
3,GODREJCP,2021-10-27 01:52:14.885602,1000,960.0,990.0
4,HAVELLS,2021-10-27 01:52:23.139366,500,1110.0,1340.0
5,TATACONSUM,2021-10-27 01:52:34.416083,1350,810.0,840.0
6,TITAN,2021-10-27 01:52:42.160729,375,2460.0,2100.0
7,VOLTAS,2021-10-27 01:52:52.901634,500,1180.0,1100.0
