,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-07-12 09:15:00+05:30,34.7,35.05,31.0,32.05,7300,318050,0.0,1,,,0.0,1,,,,32.699999999999996,,,0.02,0
1,2021-07-12 09:45:00+05:30,32.05,32.05,30.45,30.85,2700,318100,,1,,,,1,,,,32.272499999999994,,316.6,0.04,0
2,2021-07-12 10:15:00+05:30,30.85,31.6,29.7,31.0,8550,324450,,1,,,,1,,,,31.57843665768194,,305.154,0.06,0
3,2021-07-12 10:45:00+05:30,31.0,31.0,30.0,30.35,3250,325650,,1,,,,1,,,,31.410206422018348,,288.62676,0.06,0
4,2021-07-12 11:15:00+05:30,30.35,30.8,29.45,30.1,2100,326100,,1,,,,1,,,,31.296548117154813,,273.0911544,0.08,0
5,2021-07-12 11:45:00+05:30,30.15,31.0,29.55,31.0,2750,326650,,1,,,,1,,,,31.21607254534084,,253.59986204799998,0.08,0
6,2021-07-12 12:15:00+05:30,31.0,31.0,29.6,30.6,1400,327050,,1,,,,1,,,,31.175341651812243,,235.66787308415996,0.08,0
7,2021-07-12 12:45:00+05:30,30.6,31.4,28.0,29.1,7550,330000,27.97142857142857,1,27.97142857142857,,26.242857142857144,1,26.242857142857144,,,30.820037453183524,,219.17044323742715,0.1,0
8,2021-07-12 13:15:00+05:30,29.1,29.95,25.8,29.0,7650,330300,27.97142857142857,1,27.97142857142857,,26.242857142857144,1,26.242857142857144,,,30.3654527938343,,200.05339891368445,0.12000000000000001,0
9,2021-07-12 13:45:00+05:30,29.0,29.8,27.65,27.8,1350,330600,30.81027696793003,-1,,30.81027696793003,26.242857142857144,1,26.242857142857144,,,30.306464872944698,,179.1429910440423,0.12000000000000001,0
10,2021-07-12 14:15:00+05:30,27.8,28.5,24.9,24.9,8250,335200,29.001665972511454,-1,,29.001665972511454,31.303331945022908,-1,,31.303331945022908,,29.649826553137814,,160.74183211875723,0.14,0
11,2021-07-12 14:45:00+05:30,24.9,26.85,24.8,25.0,5200,337950,28.090713690724105,-1,,28.090713690724105,30.35642738144821,-1,,30.35642738144821,,29.2825724949756,,141.7239756221312,0.16,0
12,2021-07-12 15:15:00+05:30,25.0,26.85,25.0,25.95,1800,338250,28.090713690724105,-1,,28.090713690724105,30.33765204124132,-1,,30.33765204124132,,29.181843497632975,,123.01613952259021,0.16,0
13,2021-07-13 09:15:00+05:30,26.9,28.35,26.15,27.75,4800,338850,28.090713690724105,-1,,28.090713690724105,30.33765204124132,-1,,30.33765204124132,,27.416666666666668,,107.30155719897577,0.16,0
14,2021-07-13 09:45:00+05:30,27.75,29.05,27.0,29.05,4900,342250,25.817291086890943,1,25.817291086890943,,30.33765204124132,-1,,30.33765204124132,,27.896563573883157,,94.10130804713965,0.16,0
15,2021-07-13 10:15:00+05:30,29.05,29.05,26.5,26.6,1150,343350,25.817291086890943,1,25.817291086890943,,30.33765204124132,-1,,30.33765204124132,,27.842165898617505,,83.01309875959731,0.16,0
16,2021-07-13 10:45:00+05:30,26.6,28.1,26.0,27.55,1550,344250,25.817291086890943,1,25.817291086890943,,30.33765204124132,-1,,30.33765204124132,,27.76397849462365,,73.69900295806174,0.16,0
17,2021-07-13 11:15:00+05:30,27.55,28.1,27.25,27.4,3350,344600,25.817291086890943,1,25.817291086890943,,30.33765204124132,-1,,30.33765204124132,,27.725555555555548,,65.87516248477186,0.16,0
18,2021-07-13 11:45:00+05:30,27.4,29.2,27.1,29.05,5950,346875,26.104439503794527,1,26.104439503794527,,30.33765204124132,-1,,30.33765204124132,,27.92419354838709,,59.30313648720836,0.16,0
