,Name,Time,LTQ,callSP,putSP
0,ACC,2021-10-27 01:49:22.292919,500,2240.0,
1,AMBUJACEM,2021-10-27 01:49:30.460429,3000,380.0,
2,COROMANDEL,2021-10-27 01:49:37.581424,625,850.0,830.0
3,GRASIM,2021-10-27 01:49:44.915634,475,1740.0,860.0
4,RAMCOCEM,2021-10-27 01:49:52.416243,850,1000.0,860.0
