,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,SMA_44,VWAP_D,RSI_14,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-07-19 09:15:00+05:30,108.7,119.95,105.0,119.95,675,6050,0.0,1,,,0.0,1,,,,114.96666666666664,,,,0.02,0
1,2021-07-19 09:45:00+05:30,119.95,119.95,101.4,103.5,275,6250,,1,,,,1,,,,113.03201754385964,,101.4,,0.02,1
2,2021-07-19 10:15:00+05:30,103.5,115.0,103.5,109.75,425,6450,,1,,,,1,,,,111.91454545454546,,101.4,,0.02,0
3,2021-07-19 10:45:00+05:30,109.75,109.75,105.0,105.0,50,6475,,1,,,,1,,,,111.72748538011695,,101.4,,0.02,0
4,2021-07-19 11:15:00+05:30,105.0,109.7,105.0,105.2,75,6450,,1,,,,1,,,,111.47277777777776,,101.771,,0.02,0
5,2021-07-19 11:45:00+05:30,105.2,105.2,102.0,102.0,1100,6550,,1,,,,1,,,,107.91634615384615,,,119.95,0.02,1
6,2021-07-19 12:15:00+05:30,102.0,105.15,99.85,100.0,375,6550,,1,,,,1,,,,107.12857142857143,,,119.59100000000001,0.04,0
7,2021-07-19 12:45:00+05:30,100.0,109.75,96.9,100.0,1125,6700,94.63214285714285,1,94.63214285714285,,85.93928571428572,1,85.93928571428572,,,105.78079268292683,,,118.80136,0.06,0
8,2021-07-19 13:15:00+05:30,100.0,104.7,98.95,101.9,325,6650,94.63214285714285,1,94.63214285714285,,85.93928571428572,1,85.93928571428572,,,105.49209039548023,,,117.48727840000001,0.06,0
9,2021-07-19 13:45:00+05:30,101.0,105.45,97.0,97.0,250,6775,94.63214285714285,1,94.63214285714285,,85.93928571428572,1,85.93928571428572,,,105.1885918003565,,,116.252041696,0.06,0
10,2021-07-19 14:15:00+05:30,97.0,100.75,97.0,100.7,425,6775,94.63214285714285,1,94.63214285714285,,85.93928571428572,1,85.93928571428572,,,104.71315359477126,,,115.09091919424,0.06,0
11,2021-07-19 14:45:00+05:30,100.7,108.55,100.65,100.65,475,6800,96.9158921877789,1,96.9158921877789,,89.2317843755578,1,89.2317843755578,,,104.59133034379673,,,113.9994640425856,0.06,0
12,2021-07-19 15:15:00+05:30,100.65,100.65,97.0,100.0,275,6775,96.9158921877789,1,96.9158921877789,,89.2317843755578,1,89.2317843755578,,,104.33867521367523,,,112.97349620003047,0.06,0
13,2021-07-20 09:15:00+05:30,75.4,105.0,75.4,81.0,1625,6850,100.52097716816245,-1,,100.52097716816245,110.84195433632487,-1,,110.84195433632487,,87.13333333333333,,,112.00908642802864,0.08,0
14,2021-07-20 09:45:00+05:30,81.0,87.05,81.0,86.0,725,6725,93.73583757271066,-1,,93.73583757271066,103.44667514542132,-1,,103.44667514542132,,86.37748226950353,25.055106539309335,,109.08035951378635,0.08,0
15,2021-07-20 10:15:00+05:30,86.0,88.0,82.0,86.05,425,6825,93.73583757271066,-1,,93.73583757271066,103.36143583893256,-1,,103.36143583893256,,86.22012012012011,25.114361551928617,,106.38593075268344,0.08,0
16,2021-07-20 10:45:00+05:30,86.05,93.05,86.05,93.0,875,6400,93.73583757271066,-1,,93.73583757271066,103.36143583893256,-1,,103.36143583893256,,87.29406392694064,33.039408005904406,,103.90705629246877,0.08,0
17,2021-07-20 11:15:00+05:30,91.25,93.05,89.95,93.0,975,5875,93.73583757271066,-1,,93.73583757271066,103.36143583893256,-1,,103.36143583893256,,88.28612612612612,33.039408005904406,,101.62649178907127,0.08,0
