,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2,SUPERT_7_0.3,SUPERTd_7_0.3,SUPERTl_7_0.3,SUPERTs_7_0.3
0,2021-05-05 09:15:00+05:30,19.25,27.95,19.25,26.95,22950,104550,,,0.06,False,0.0,1,,
1,2021-05-05 09:20:00+05:30,26.95,29.4,26.85,29.35,26350,110500,,,0.06,False,,1,,
2,2021-05-05 09:25:00+05:30,29.35,29.35,26.95,27.55,28900,117300,,27.95,0.06,True,,1,,
3,2021-05-05 09:30:00+05:30,27.55,28.2,26.7,28.2,11900,118150,26.95,,0.06,True,,1,,
4,2021-05-05 09:35:00+05:30,28.2,28.85,27.75,28.7,5100,102000,26.7,,0.06,False,,1,,
5,2021-05-05 09:40:00+05:30,28.7,28.7,26.8,26.8,6800,103700,,28.85,0.12,True,,1,,
6,2021-05-05 09:45:00+05:30,26.8,27.6,26.35,26.5,12750,106250,,28.85,0.06,False,47.736847925063515,1,47.736847925063515,
7,2021-05-05 09:50:00+05:30,26.5,26.5,25.2,25.7,22950,104550,,28.7,0.12,False,49.098160208166824,1,49.098160208166824,
8,2021-05-05 09:55:00+05:30,25.7,26.4,25.7,25.9,9350,105400,,28.07,0.18,False,49.098160208166824,1,49.098160208166824,
9,2021-05-05 10:00:00+05:30,25.9,27.15,25.9,27.15,4250,105400,,27.5534,0.18,False,49.01948191698453,-1,,49.01948191698453
10,2021-05-05 10:05:00+05:30,27.6,28.05,27.6,28.05,5950,105400,25.2,,0.18,True,48.3090750663416,-1,,48.3090750663416
11,2021-05-05 10:10:00+05:30,28.05,28.05,27.4,27.4,850,102850,25.371,,0.06,False,48.139730068166934,-1,,48.139730068166934
12,2021-05-05 10:15:00+05:30,27.4,28.65,27.4,28.65,4250,102000,25.53174,,0.06,False,47.34756478241508,-1,,47.34756478241508
13,2021-05-05 10:20:00+05:30,28.65,29.55,28.65,29.45,4250,100300,25.905931199999998,,0.12,False,45.96242379149201,-1,,45.96242379149201
14,2021-05-05 10:25:00+05:30,29.45,29.45,28.15,28.35,11050,102000,26.561863583999997,,0.18,False,45.33912301299441,1,45.33912301299441,
15,2021-05-05 10:30:00+05:30,28.35,28.35,27.2,27.65,9350,100300,27.099728138879996,,0.18,False,46.19314009943904,1,46.19314009943904,
16,2021-05-05 10:35:00+05:30,27.65,27.65,27.35,27.35,3400,102000,,29.55,0.18,True,46.19314009943904,1,46.19314009943904,
17,2021-05-05 10:40:00+05:30,27.35,27.35,27.15,27.15,1700,100300,,29.418,0.06,False,46.19314009943904,1,46.19314009943904,
18,2021-05-05 10:45:00+05:30,27.15,28.2,27.15,28.2,4250,98600,,29.14584,0.12,False,46.16575152419483,-1,,46.16575152419483
19,2021-05-05 10:50:00+05:30,28.2,28.35,27.55,27.55,4250,98600,,28.906339199999998,0.12,False,45.57117575441142,-1,,45.57117575441142
20,2021-05-05 10:55:00+05:30,27.55,28.25,27.55,28.25,850,98600,,28.695578496,0.12,False,45.277878722339516,-1,,45.277878722339516
21,2021-05-05 11:00:00+05:30,28.25,28.25,27.95,27.95,1700,97750,,28.51010907648,0.12,False,45.277878722339516,-1,,45.277878722339516
22,2021-05-05 11:05:00+05:30,27.95,27.95,27.5,27.6,5100,100300,,28.3468959873024,0.12,False,45.21951974727432,-1,,45.21951974727432
23,2021-05-05 11:10:00+05:30,27.6,28.05,27.6,28.05,1700,100300,,28.25,0.12,False,44.057040897743214,-1,,44.057040897743214
24,2021-05-05 11:15:00+05:30,28.05,29.5,28.05,29.5,8500,103700,27.15,,0.12,True,42.589582061846414,-1,,42.589582061846414
25,2021-05-05 11:20:00+05:30,29.5,29.5,29.1,29.1,5100,105400,27.291,,0.06,False,41.74645523841107,-1,,41.74645523841107
26,2021-05-05 11:25:00+05:30,29.1,29.5,29.0,29.0,5100,107950,27.42354,,0.06,False,41.385360253676204,-1,,41.385360253676204
27,2021-05-05 11:30:00+05:30,29.0,29.3,29.0,29.3,3400,108800,27.5481276,,0.06,False,41.025896734084085,-1,,41.025896734084085
