date,open,high,low,close,volume,oi
2021-05-10 09:15:00+05:30,1142.2,1142.2,1088.5,1091.45,525,4625
2021-05-10 09:20:00+05:30,1091.45,1145.0,1089.65,1120.3,675,4750
2021-05-10 09:25:00+05:30,1120.3,1131.2,1100.0,1118.0,275,4875
2021-05-10 09:30:00+05:30,1118.0,1118.0,1044.0,1044.0,650,4950
2021-05-10 09:35:00+05:30,1044.0,1056.95,1034.05,1056.95,150,5125
2021-05-10 09:40:00+05:30,1056.95,1075.0,1056.95,1075.0,75,5150
2021-05-10 09:45:00+05:30,1075.0,1089.95,1075.0,1084.65,175,5225
2021-05-10 09:50:00+05:30,1084.65,1084.65,1059.6,1059.6,25,5250
2021-05-10 09:55:00+05:30,1059.6,1059.6,1030.15,1042.7,400,5450
2021-05-10 10:00:00+05:30,1042.7,1060.0,1039.55,1060.0,75,5425
2021-05-10 10:05:00+05:30,1053.1,1083.2,1052.0,1083.2,500,5550
2021-05-10 10:10:00+05:30,1083.2,1113.8,1079.45,1113.8,250,5500
2021-05-10 10:15:00+05:30,1113.8,1185.2,1113.8,1174.75,500,5425
2021-05-10 10:20:00+05:30,1174.75,1181.6,1171.4,1177.0,375,5375
2021-05-10 10:25:00+05:30,1177.0,1178.95,1155.05,1167.05,575,5450
2021-05-10 10:30:00+05:30,1167.05,1198.0,1146.95,1198.0,150,5625
2021-05-10 10:35:00+05:30,1198.0,1198.4,1185.0,1198.4,50,5675
2021-05-10 10:40:00+05:30,1198.4,1198.4,1167.7,1171.0,75,5675
2021-05-10 10:45:00+05:30,1171.0,1171.0,1152.45,1167.6,175,5700
2021-05-10 10:50:00+05:30,1167.6,1167.6,1156.8,1156.8,300,5725
2021-05-10 10:55:00+05:30,1156.8,1156.8,1132.5,1146.95,550,6075
2021-05-10 11:00:00+05:30,1146.95,1146.95,1121.85,1127.1,125,6225
2021-05-10 11:05:00+05:30,1127.1,1153.8,1127.1,1153.8,100,6250
2021-05-10 11:10:00+05:30,1153.8,1168.0,1153.8,1167.1,75,6325
2021-05-10 11:15:00+05:30,1167.1,1167.1,1147.8,1147.8,25,6375
2021-05-10 11:20:00+05:30,1147.8,1173.4,1136.85,1172.6,175,6275
2021-05-10 11:25:00+05:30,1172.6,1172.6,1142.45,1146.15,75,6250
2021-05-10 11:30:00+05:30,1146.15,1152.5,1144.45,1145.05,375,6150
2021-05-10 11:35:00+05:30,1145.05,1145.05,1145.05,1145.05,0,6150
2021-05-10 11:40:00+05:30,1145.05,1146.15,1138.5,1139.35,200,5950
2021-05-10 11:45:00+05:30,1139.35,1139.35,1082.1,1114.55,325,6000
2021-05-10 11:50:00+05:30,1114.55,1123.45,1114.5,1123.45,50,6025
2021-05-10 11:55:00+05:30,1123.45,1123.45,1106.8,1110.75,175,6050
2021-05-10 12:00:00+05:30,1110.75,1134.35,1110.0,1130.15,100,6100
2021-05-10 12:05:00+05:30,1130.15,1130.15,1110.0,1110.0,200,6075
2021-05-10 12:10:00+05:30,1110.0,1111.15,1085.05,1100.85,250,6400
2021-05-10 12:15:00+05:30,1100.85,1109.5,1091.25,1091.25,75,6425
2021-05-10 12:20:00+05:30,1091.25,1093.1,1091.25,1091.7,75,6475
2021-05-10 12:25:00+05:30,1091.7,1115.6,1091.7,1115.45,75,6500
2021-05-10 12:30:00+05:30,1115.45,1115.45,1115.45,1115.45,0,6500
2021-05-10 12:35:00+05:30,1115.45,1151.1,1115.45,1151.1,200,6475
2021-05-10 12:40:00+05:30,1151.1,1157.15,1146.75,1146.75,125,6500
2021-05-10 12:45:00+05:30,1146.75,1146.75,1139.9,1139.9,25,6525
2021-05-10 12:50:00+05:30,1139.9,1139.9,1128.05,1128.05,50,6525
2021-05-10 12:55:00+05:30,1128.05,1128.05,1117.6,1118.25,50,6525
2021-05-10 13:00:00+05:30,1118.25,1140.0,1118.25,1140.0,75,6525
2021-05-10 13:05:00+05:30,1140.0,1144.95,1115.5,1144.95,175,6625
2021-05-10 13:10:00+05:30,1144.95,1144.95,1053.7,1072.15,250,6650
2021-05-10 13:15:00+05:30,1072.15,1072.15,1028.6,1049.35,500,6850
2021-05-10 13:20:00+05:30,1049.35,1064.3,1049.35,1064.3,75,6850
2021-05-10 13:25:00+05:30,1064.3,1081.3,1064.3,1070.0,400,6825
2021-05-10 13:30:00+05:30,1070.0,1088.0,1065.95,1083.3,175,6900
2021-05-10 13:35:00+05:30,1083.3,1086.6,1061.65,1061.65,75,6875
2021-05-10 13:40:00+05:30,1061.65,1075.25,1061.65,1074.2,175,6775
2021-05-10 13:45:00+05:30,1087.4,1087.4,1066.55,1066.55,100,6850
2021-05-10 13:50:00+05:30,1066.55,1075.0,1066.55,1071.15,75,6800
2021-05-10 13:55:00+05:30,1071.15,1099.45,1071.15,1096.2,150,6800
2021-05-10 14:00:00+05:30,1096.2,1096.2,1087.85,1087.85,100,6800
2021-05-10 14:05:00+05:30,1087.85,1091.9,1079.25,1079.25,75,6650
2021-05-10 14:10:00+05:30,1079.25,1079.4,1071.4,1071.4,150,6700
2021-05-10 14:15:00+05:30,1071.4,1127.0,1071.4,1109.6,350,6625
2021-05-10 14:20:00+05:30,1109.6,1109.6,1095.35,1097.3,200,6650
2021-05-10 14:25:00+05:30,1097.3,1097.3,1033.4,1053.05,875,6800
2021-05-10 14:30:00+05:30,1053.05,1058.55,1053.05,1058.55,125,6900
