,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2,SUPERT_7_0.3,SUPERTd_7_0.3,SUPERTl_7_0.3,SUPERTs_7_0.3
0,2021-05-10 09:15:00+05:30,116.2,139.1,116.2,137.5,91800,1173000,,,0.06,False,0.0,1,,
1,2021-05-10 09:20:00+05:30,136.0,141.0,135.0,135.85,40800,1156000,,,0.06,False,,1,,
2,2021-05-10 09:25:00+05:30,135.85,135.85,128.5,130.0,24650,1154300,,139.1,0.06,True,,1,,
3,2021-05-10 09:30:00+05:30,130.0,133.95,129.0,133.6,12750,1147500,,141.0,0.06,False,,1,,
4,2021-05-10 09:35:00+05:30,133.6,133.6,129.1,129.1,24650,1150900,,140.25,0.06,False,,1,,
5,2021-05-10 09:40:00+05:30,130.0,131.5,126.0,126.5,18700,1137300,,139.545,0.06,False,,1,,
6,2021-05-10 09:45:00+05:30,126.5,128.0,124.7,124.85,18700,1134750,,137.9196,0.12,False,124.38515824851409,1,124.38515824851409,
7,2021-05-10 09:50:00+05:30,124.85,127.6,122.2,122.55,23800,1137300,,135.540072,0.18,False,126.79532421175541,-1,,126.79532421175541
8,2021-05-10 09:55:00+05:30,122.55,122.55,116.8,116.8,33150,1138150,,132.8720576,0.2,False,121.53789297669688,-1,,121.53789297669688
9,2021-05-10 10:00:00+05:30,115.95,126.7,115.95,125.55,32300,1137300,,129.65764608,0.2,False,119.21452285582941,1,119.21452285582941,
10,2021-05-10 10:05:00+05:30,125.55,130.0,124.55,130.0,23800,1134750,115.95,,0.2,True,125.24771149322324,1,125.24771149322324,
11,2021-05-10 10:10:00+05:30,130.0,130.0,128.0,129.0,10200,1132200,115.95,,0.06,False,127.21466053153127,1,127.21466053153127,
12,2021-05-10 10:15:00+05:30,129.0,129.0,127.5,128.0,11050,1128800,116.793,,0.06,False,127.21466053153127,1,127.21466053153127,
13,2021-05-10 10:20:00+05:30,128.0,128.0,128.0,128.0,0,1128800,117.58542,,0.06,False,127.21466053153127,1,127.21466053153127,
14,2021-05-10 10:25:00+05:30,128.0,129.0,126.05,128.0,7650,1128800,118.3302948,,0.06,False,127.21466053153127,1,127.21466053153127,
15,2021-05-10 10:30:00+05:30,128.0,128.0,126.0,127.05,6800,1127950,119.030477112,,0.06,False,128.1437856914856,-1,,128.1437856914856
16,2021-05-10 10:35:00+05:30,127.05,127.05,124.0,124.0,8500,1127100,119.68864848528,,0.06,False,126.63353727640009,-1,,126.63353727640009
17,2021-05-10 10:40:00+05:30,124.0,126.0,123.0,126.0,5100,1122850,120.3073295761632,,0.06,False,125.57676466081725,-1,,125.57676466081725
18,2021-05-10 10:45:00+05:30,126.0,127.0,124.0,124.0,11050,1122000,120.88888980159341,,0.06,False,125.57676466081725,-1,,125.57676466081725
19,2021-05-10 10:50:00+05:30,124.0,124.5,123.0,123.65,4250,1121150,121.4355564134978,,0.06,False,124.71024306826382,-1,,124.71024306826382
20,2021-05-10 10:55:00+05:30,123.65,123.65,120.15,122.35,21250,1121150,,130.0,0.06,True,122.87358967660322,-1,,122.87358967660322
21,2021-05-10 11:00:00+05:30,122.35,122.35,121.35,122.0,4250,1120300,,129.409,0.06,False,122.72401030197872,-1,,122.72401030197872
22,2021-05-10 11:05:00+05:30,122.0,124.5,122.0,123.5,5950,1122000,,128.85345999999998,0.06,False,122.39423183567379,1,122.39423183567379,
23,2021-05-10 11:10:00+05:30,123.5,124.0,122.5,122.5,4250,1119450,,128.33125239999998,0.06,False,122.45366877086067,1,122.45366877086067,
24,2021-05-10 11:15:00+05:30,122.5,124.55,122.5,124.0,7650,1118600,,127.84037725599998,0.06,False,122.75513429402045,1,122.75513429402045,
25,2021-05-10 11:20:00+05:30,124.0,126.5,124.0,125.75,13600,1120300,,127.37895462063999,0.06,False,124.48302477551812,1,124.48302477551812,
26,2021-05-10 11:25:00+05:30,125.75,128.0,125.5,128.0,5100,1119450,120.15,,0.06,True,125.98548817580843,1,125.98548817580843,
27,2021-05-10 11:30:00+05:30,128.0,129.35,127.8,127.8,3400,1119450,120.62100000000001,,0.06,False,127.85385453161162,1,127.85385453161162,
28,2021-05-10 11:35:00+05:30,127.8,128.9,127.0,128.5,11050,1113500,121.66848,,0.12,False,127.85385453161162,1,127.85385453161162,
29,2021-05-10 11:40:00+05:30,128.5,132.5,128.5,132.0,32300,1112650,122.5902624,,0.12,False,129.7284600627614,1,129.7284600627614,
30,2021-05-10 11:45:00+05:30,132.0,132.0,130.0,130.0,34000,1122000,124.374015168,,0.18,False,130.25317353832426,1,130.25317353832426,
31,2021-05-10 11:50:00+05:30,130.0,130.0,128.5,129.2,12750,1117750,125.83669243776,,0.18,False,129.95411489588776,-1,,129.95411489588776
32,2021-05-10 11:55:00+05:30,128.7,128.7,126.0,127.0,7650,1104150,,132.5,0.18,True,128.0908971031242,-1,,128.0908971031242
33,2021-05-10 12:00:00+05:30,127.0,127.7,125.0,127.7,5100,1100750,,132.11,0.06,False,127.10082148828066,-1,,127.10082148828066
34,2021-05-10 12:05:00+05:30,127.7,129.65,127.5,129.5,14450,1090550,,131.2568,0.12,False,127.83936478214541,1,127.83936478214541,
35,2021-05-10 12:10:00+05:30,129.5,132.0,129.0,131.5,7650,1089700,125.0,,0.12,True,129.7407924096371,1,129.7407924096371,
36,2021-05-10 12:15:00+05:30,131.5,132.05,131.0,131.0,15300,1092250,125.42,,0.06,False,130.8294629158579,1,130.8294629158579,
