,Name,Time,LTQ,callSP,putSP
0,ABFRL,2021-10-27 02:01:38.970511,2600,260.0,
1,BEL,2021-10-27 02:01:51.394476,3800,205.0,
2,BHARATFORG,2021-10-27 02:01:58.600410,1500,780.0,840.0
3,BHEL,2021-10-27 02:02:05.555306,10500,72.0,85.0
4,CONCOR,2021-10-27 02:02:13.211218,1563,680.0,840.0
5,INDHOTEL,2021-10-27 02:02:24.268312,3900,205.0,217.5
6,INDIGO,2021-10-27 02:02:35.688880,500,2040.0,2300.0
7,NAUKRI,2021-10-27 02:02:52.010508,125,6000.0,2300.0
