,date,open,high,low,close,volume,oi,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,SUPERT_4_0.6,SUPERTd_4_0.6,SUPERTl_4_0.6,SUPERTs_4_0.6,SUPERT_10_1.2,SUPERTd_10_1.2,SUPERTl_10_1.2,SUPERTs_10_1.2,SUPERT_15_1.4,SUPERTd_15_1.4,SUPERTl_15_1.4,SUPERTs_15_1.4,SUPERT_4_0.4,SUPERTd_4_0.4,SUPERTl_4_0.4,SUPERTs_4_0.4,SMA_44,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
0,2021-08-04 09:15:00+05:30,16195.25,16254.55,16188.55,16246.1,0,0,0.0,1,,,0.0,1,,,0.0,1,,,0.0,1,,,0.0,1,,,,,,0.02,False
1,2021-08-04 09:45:00+05:30,16245.35,16263.5,16235.55,16251.75,0,0,,1,,,,1,,,,1,,,,1,,,,1,,,,,,0.02,False
2,2021-08-04 10:15:00+05:30,16251.8,16286.0,16250.5,16283.15,0,0,,1,,,,1,,,,1,,,,1,,,,1,,,,,16254.55,0.02,True
3,2021-08-04 10:45:00+05:30,16283.6,16290.0,16265.1,16271.9,0,0,,1,,,16256.6844,1,16256.6844,,,1,,,,1,,,16263.639599999999,1,16263.639599999999,,,16250.5,,0.02,True
4,2021-08-04 11:15:00+05:30,16271.5,16271.6,16232.65,16233.35,0,0,,1,,,16273.870505761844,-1,,16273.870505761844,,1,,,,1,,,16266.622003841228,-1,,16266.622003841228,,,16290.0,0.02,True
5,2021-08-04 11:45:00+05:30,16233.05,16259.15,16204.7,16257.95,0,0,,1,,,16256.992953667952,-1,,16256.992953667952,,1,,,,1,,,16248.636969111969,-1,,16248.636969111969,,,16290.0,0.02,False
6,2021-08-04 12:15:00+05:30,16257.4,16266.8,16230.25,16250.5,0,0,16127.757325282788,1,16127.757325282788,,16256.992953667952,-1,,16256.992953667952,,1,,,,1,,,16232.416588363738,1,16232.416588363738,,,,16286.588,0.04,False
7,2021-08-04 12:45:00+05:30,16250.5,16253.0,16219.45,16236.4,0,0,16127.757325282788,1,16127.757325282788,,16256.992953667952,-1,,16256.992953667952,,1,,,,1,,,16232.416588363738,1,16232.416588363738,,,,16283.31248,0.04,False
8,2021-08-04 13:15:00+05:30,16236.25,16266.65,16236.25,16265.3,0,0,16139.595628731042,1,16139.595628731042,,16229.70573382936,1,16229.70573382936,,,1,,,,1,,,16236.953822552907,1,16236.953822552907,,,,16280.1679808,0.04,False
9,2021-08-04 13:45:00+05:30,16266.7,16271.0,16254.8,16265.25,0,0,16162.543095950408,1,16162.543095950408,,16244.341184282996,1,16244.341184282996,,16221.612456714392,1,16221.612456714392,,,1,,,16250.527456188664,1,16250.527456188664,,,,16277.149261568,0.04,False
10,2021-08-04 14:15:00+05:30,16266.6,16285.05,16250.45,16255.7,0,0,16166.790697992816,1,16166.790697992816,,16248.616621473844,1,16248.616621473844,,16226.428580249227,1,16226.428580249227,,,1,,,16254.994414315895,1,16254.994414315895,,,16204.7,,0.04,True
11,2021-08-04 14:45:00+05:30,16254.55,16268.8,16247.25,16265.7,0,0,16166.790697992816,1,16166.790697992816,,16248.616621473844,1,16248.616621473844,,16226.428580249227,1,16226.428580249227,,,1,,,16254.994414315895,1,16254.994414315895,,,16206.307,,0.02,False
12,2021-08-04 15:15:00+05:30,16265.2,16266.75,16245.6,16253.0,0,0,16166.790697992816,1,16166.790697992816,,16248.616621473844,1,16248.616621473844,,16226.428580249227,1,16226.428580249227,,,1,,,16267.03626302373,-1,,16267.03626302373,,16207.881860000001,,0.02,False
13,2021-08-05 09:15:00+05:30,16288.95,16293.3,16211.2,16251.85,0,0,16166.790697992816,1,16166.790697992816,,16248.616621473844,1,16248.616621473844,,16226.428580249227,1,16226.428580249227,,,1,,,16267.03626302373,-1,,16267.03626302373,,16209.4252228,,0.02,False
14,2021-08-05 09:45:00+05:30,16250.8,16275.05,16231.25,16239.1,0,0,16166.790697992816,1,16166.790697992816,,16278.23798691381,-1,,16278.23798691381,16226.428580249227,1,16226.428580249227,,16199.792931595592,1,16199.792931595592,,16267.03626302373,-1,,16267.03626302373,,16211.2,,0.04,False
